k,draw_idx,L_indiv,bias_primal,var_primal,gap_primal,bias_dual,var_dual,auc_primal,auc_dual
2,0,0.5020741211306848,0.4759219913258886,0.02582673529638583,0.00032539450841040374,0.47914042103365323,0.022933700097031627,0.8171888587314553,0.814790903581122
2,1,0.8338771323398878,0.5081551270282184,0.29973205965149696,0.02598994566017243,0.6239832029429938,0.20989392939690413,0.8894700782629319,0.8957614166381196
2,2,0.4834982542926192,0.4564028275555752,0.02835509757094612,-0.0012596708339021045,0.45821213762494784,0.025286116667671357,0.8366360114891038,0.8367875306332182
2,3,0.5074624185606786,0.418087871410479,0.11581246347582828,-0.02643791632562864,0.4247828842598368,0.08267953430084188,0.8704379562043796,0.8777504018551212
2,4,0.5032242444140724,0.47363647679625326,0.025048470358820983,0.0045392972589982095,0.481375854798589,0.02184838961548356,0.8207067379904609,0.8198042109146486
2,5,0.48334144268011997,0.4126808597137948,0.10644484595712518,-0.03578426299080001,0.4000068353880286,0.08333460729209137,0.878718806819679,0.8888376505309759
2,6,0.7749184589855826,0.47402982531282484,0.31700086465323546,-0.01611223098047765,0.6307950599540053,0.14412339903157748,0.830950749690374,0.8419787082663575
2,7,0.573210731028474,0.4562132588138469,0.09284399157620069,0.024153480638426372,0.5017828802999595,0.07142785072851439,0.855971171835885,0.8563730269572322
2,8,0.5076177436411118,0.47808867613711614,0.028681947158252986,0.0008471203457426357,0.48189930934950137,0.025718434291610352,0.8191586076049434,0.8187172257503492
2,9,0.45821584243924823,0.3822017706429531,0.10990420872071638,-0.03389013692442122,0.37630196788677084,0.08191387455247723,0.8967166460249283,0.9088908798650821
2,10,0.7251091744399973,0.4618082240117431,0.2351419975318222,0.02815895289643211,0.6018763906108178,0.12323278382917925,0.8407270283801944,0.8405228069250836
2,11,0.6353644630875801,0.4139049301010133,0.1599949904051527,0.061464542581414094,0.5187699899237264,0.11659447316385388,0.9030936256554849,0.8940090647974914
2,12,0.6419797133305799,0.41329925359626013,0.3460582045524628,-0.117377744818143,0.48783865120268727,0.15414106212789297,0.8741600569184959,0.8821312814566921
2,13,0.5480916172300316,0.38527962800774423,0.2749961405008371,-0.11218415127854975,0.41272734015170986,0.13536427707832152,0.8930735987773064,0.9092466204643074
2,14,0.5690414118399387,0.4513372930234932,0.11411964507968052,0.0035844737367650703,0.48852965247009694,0.08051175936984185,0.8581056154312366,0.8653324198266094
2,15,0.8398056766112323,0.5950838868529115,0.17867980709447678,0.06604198266384409,0.7051670993817272,0.13463857722951045,0.8581154971145486,0.8609054257029171
2,16,0.4986776330220334,0.46287444216488455,0.04243910113588842,-0.006635910278739554,0.4661944811651281,0.032483151856905194,0.8287767793617751,0.8305225434135288
2,17,0.5610857502310611,0.44740457048299925,0.09843521315010391,0.01524596659795796,0.49197724418900907,0.06910850604205199,0.8597789138053705,0.8637777016522175
2,18,0.5047621074743954,0.4292552949768944,0.08228856413831263,-0.0067817516408116285,0.4407393592563943,0.0640227482180012,0.861392922079633,0.862861998998656
2,19,0.4759561553780507,0.445243718162229,0.0317325909753875,-0.0010201537595658228,0.44860182380678537,0.02735433157126533,0.8495941922053282,0.8484347413634088
2,20,0.5407926939997268,0.3896061858114217,0.18359225889495134,-0.0324057507066462,0.43107218600968733,0.10972050799003978,0.894951118606551,0.9027576484228833
2,21,0.7793345873425714,0.5616290686387254,0.18346258082120936,0.03424293788263666,0.6473908345255011,0.13194375281707227,0.8667059738069516,0.8736560910695934
2,22,0.673119875896713,0.4982213920665369,0.18088699264268027,-0.005988508812504234,0.5454729887468284,0.12764688714988603,0.8727305067327202,0.885352710216343
2,23,0.7174703817436859,0.4810276849098243,0.25663971960170645,-0.020197022767844852,0.5886400823444288,0.12883029939925858,0.829797886637329,0.8515375899233181
2,24,0.7635264657988645,0.4716408388744005,0.26388817732027103,0.027997449604193037,0.6366146712417915,0.126911794557073,0.839468760705157,0.8443634878389419
2,25,0.7222681711823729,0.4738737596172141,0.34779931516152085,-0.09940490359636212,0.5703073048334796,0.1519608663488932,0.8258320377348547,0.8521963688107723
2,26,0.6201769861778871,0.4384940433364627,0.16441785674104334,0.017265086100381022,0.52485147089563,0.09532551528225765,0.8679576536931144,0.8711164984584575
2,27,0.5980191744911625,0.4355300257829532,0.1894035798151486,-0.026914431106939363,0.4900559457070006,0.10796322878416191,0.8625260217660545,0.8751152863053044
2,28,0.5550100180497346,0.3965381586007726,0.1938722318701084,-0.03540037242114635,0.43439460112352424,0.12061541692621086,0.8902079106168805,0.9020264038578091
2,29,0.5049313989811521,0.4812264664091337,0.025423617619720767,-0.0017186850477023397,0.48162638893273274,0.023305010048419356,0.809250573137632,0.8097051305699754
4,0,0.6417882712387658,0.42977827225307896,0.26512615453151556,-0.053116155545828714,0.4782559036385414,0.16353236760022427,0.8597459748609976,0.8661954201691744
4,1,0.5160184541864525,0.40425563066271164,0.19979267286749522,-0.08802984934375435,0.37558508748130826,0.14043336670514422,0.882934991699386,0.8999446625734538
4,2,0.680936011429767,0.4139741487677943,0.266714076078364,0.000247786583608689,0.5049996536399044,0.17593635778986264,0.8747002556062082,0.8810969986033889
4,3,0.5940608417814139,0.3705988148557946,0.24239757187814492,-0.018935544952525585,0.41530838293215083,0.17875245884926308,0.9023755566681599,0.9008406018603916
4,4,0.5933460794459725,0.42526252929383257,0.17587999085581946,-0.007796440703679575,0.46650128216825476,0.12684479727771766,0.8620780521225856,0.862045113178213
4,5,0.5181471513585966,0.3738951503198268,0.19817273738276603,-0.0539207363439963,0.38566531474216575,0.1324818366164309,0.9013742127592296,0.908027879522517
4,6,0.49000817713637007,0.4190567710360007,0.12801659289302983,-0.05706518679266043,0.3861141097962557,0.1038940673401143,0.8759486415979341,0.891927323513136
4,7,0.6603297414676624,0.393171546849979,0.2668865542321319,0.00027164038555149705,0.474967107362649,0.18536263410501028,0.8892065667079501,0.8969999209465336
4,8,0.467902432059675,0.42386438521103315,0.05732245467759819,-0.01328440782895629,0.4206044015795989,0.04729803048007605,0.8640016864739519,0.8682112835647842
4,9,0.6039864722290311,0.39862586391806965,0.2678144401560861,-0.06245383184512465,0.42946774911521035,0.17451872311382066,0.8828691138106406,0.8932580568657936
4,10,0.7169311035555759,0.4292360579803033,0.2519584857640562,0.03573655981121637,0.5475958321855003,0.16933527137007873,0.8709649793143428,0.8768544625681836
4,11,0.5082632763542705,0.4386942488640981,0.10522037242481225,-0.03565134493463984,0.43289001250747217,0.07537326384679836,0.8556351946032834,0.8601148910379721
4,12,0.6213710568760715,0.4363980543438993,0.18529625203417413,-0.00032324950200190994,0.49377589442901976,0.12759516244705174,0.8607802577143008,0.8642783736066826
4,13,0.5160083750376885,0.4165121123017754,0.10870654207452544,-0.009210279338612293,0.42850154112339006,0.08750683391429853,0.8702271469603943,0.8727963846214657
4,14,0.5558715027313779,0.36195140689818334,0.29146617471273656,-0.09754607887954203,0.37572796824747373,0.180143534483904,0.9070594745579594,0.919181006087117
4,15,0.49886303117668396,0.4734349134898735,0.040428847072852554,-0.015000729386042133,0.46447534254698597,0.03438768862969802,0.8291061688055021,0.8320970249545442
4,16,0.6832324856942078,0.41105385253509485,0.27138138205405227,0.0007972511050606812,0.48209729895598935,0.20113518673821845,0.8775066536667634,0.8788176236527971
4,17,0.48663257668850046,0.4375257493793831,0.05716159233810479,-0.008054765028987443,0.4382266237938336,0.04840595289466675,0.8529473767424702,0.8541002397955151
4,18,0.6540223011082936,0.4129488097340668,0.28557946606858897,-0.04450597469436213,0.46690884948210454,0.18711345162618914,0.8732838809981819,0.8808730137816544
4,19,0.4827726144673824,0.4401909155669859,0.05115803596269455,-0.008576337062298045,0.4377322655504166,0.04504034891696583,0.8472752905214893,0.848862947640254
4,20,0.635863110384895,0.4347581308796193,0.2266063427322876,-0.02550136322701191,0.4826827637739338,0.15318034661096122,0.8549961790824527,0.8591794250177871
4,21,0.6116824747271683,0.39602667071594644,0.29456065618297395,-0.07890485217175214,0.42004728730231805,0.19163518742485,0.8844962976626526,0.8956033097051306
4,22,0.6165633790697309,0.4029090644863283,0.24554232506097445,-0.03188801047757184,0.44625309196734575,0.1703102871023844,0.8807676091596617,0.8861366570924135
4,23,0.5205110051690114,0.43096981782216787,0.12819771188232823,-0.03865652453548474,0.4266561314535843,0.0938548737154271,0.861610319112493,0.8682112835647844
4,24,0.6026467637292265,0.3871661136917647,0.3417026391505321,-0.12622198911307025,0.4080378579175168,0.19460890581170984,0.891782392157896,0.9089633455427021
4,25,0.7220684593559592,0.4011208444718871,0.36673066790746955,-0.04578305302339747,0.49872434232856866,0.2233441170273891,0.8844238319850326,0.889153864396954
4,26,0.702167682867227,0.4119707238000868,0.27384152809620255,0.016355430970937612,0.5137874019037832,0.18838028096344284,0.8774210124113941,0.8831853276766187
4,27,0.537354786524089,0.4022689495217969,0.1556203687420657,-0.02053453173977371,0.41369564777337936,0.12365913875070969,0.8814000368916177,0.8849706184616197
4,28,0.5967432000876975,0.40862997040531873,0.17787561049833653,0.010237619184042313,0.4735193561890576,0.12322384389864013,0.8799309599725949,0.8827834725552715
4,29,0.5856341660534732,0.38701751205054813,0.22123616721939016,-0.022619513216465048,0.44468422510183564,0.14094994095163715,0.8921249571793723,0.8960315159819758
8,0,0.5354995344918324,0.4052408584726242,0.23387598733475584,-0.10361731131554763,0.3713148083398746,0.16418472615195778,0.8855371683048301,0.9019934649134365
8,1,0.56636537816608,0.39117324081392046,0.21974231345129203,-0.04455017609913248,0.4022553239035503,0.1641100542625299,0.8875332683338164,0.8970196843131573
8,2,0.6607161400654173,0.3933229002170525,0.35363954691280586,-0.08624630706444103,0.4228220262038222,0.23789411386159517,0.8889167039974702,0.8970987377796518
8,3,0.502678884023677,0.3949613458384313,0.1747273961437874,-0.06700985795854175,0.3672523468771544,0.1354265371465226,0.8912026667369364,0.9036074731876993
8,4,0.562998748745318,0.3903697987006472,0.23740504346158725,-0.06477609341691648,0.3879211553775318,0.17507759336778614,0.8886070779203668,0.8998787846847085
8,5,0.5787408878164639,0.41653305508138955,0.2110830833834513,-0.048875250648376944,0.42031561478065055,0.1584252730358134,0.8700361010830325,0.8794302880181296
8,6,0.5589677218906084,0.4167337618450068,0.21749276402284232,-0.07525880397724072,0.4053859019253544,0.15358181996525408,0.8724406440222403,0.8879219478774145
8,7,0.6793974370955338,0.4110475568071759,0.3455047196925727,-0.07715483940421475,0.4523625740208074,0.2270348630747266,0.876215447047353,0.8836464728978367
8,8,0.5444721110840551,0.37185623628618014,0.21040972467214403,-0.037793849874269037,0.38758073559834416,0.15689137548571092,0.9005836780942845,0.9059856649714091
8,9,0.5474701354020448,0.36739114618270974,0.23622361954139323,-0.05614463032205819,0.37332665329465997,0.1741434821073848,0.9039170992648029,0.9103533689952304
8,10,0.6240864750641522,0.3578524875786742,0.29330544788217217,-0.02707146039669417,0.41018142784457323,0.21390504721958056,0.9087722996653403,0.9152415083401406
8,11,0.5717413972508618,0.39159590439732955,0.24960380467661658,-0.06945831182308426,0.39866182140663636,0.17307957584422531,0.8905570634272312,0.8984097077656854
8,12,0.5730897392857959,0.4143117137742228,0.2141414847961734,-0.0553634592846004,0.40953672406817376,0.16355301521762208,0.8742193470183668,0.88230256396743
8,13,0.6190812673107299,0.3754883056350347,0.31763169388417734,-0.07403873220848223,0.404217957810683,0.21486330950004642,0.8995296318743576,0.905998840549158
8,14,0.5386793127597527,0.3912814958778306,0.2016181304369293,-0.05422031355500723,0.38568751044000427,0.15299180231974843,0.8887388336978577,0.897019684313157
8,15,0.601152801580123,0.36343148116087215,0.3107503236506606,-0.0730290032314097,0.391700330057952,0.20945247152217047,0.9079817650003952,0.9100832696513743
8,16,0.5739518952488268,0.38644935118882906,0.2600923092902182,-0.07258976523022043,0.38599718273770683,0.18795471251111986,0.8918943845687632,0.9040620306200426
8,17,0.5894605128844927,0.4014121323318353,0.20347800744756497,-0.015429626894907567,0.43515657624112275,0.15430393664336972,0.8803196395161927,0.8831985032543677
8,18,0.5715247083209587,0.3682858902419433,0.26341641037591773,-0.06017759229690234,0.38020416553640496,0.19132054278455363,0.9043189543861498,0.9081793986666316
8,19,0.5563290702560114,0.4119213912496573,0.23661010932718274,-0.09220243032082864,0.37775070850532294,0.1785783617506885,0.8791536008853988,0.8984162955545602
8,20,0.5607637786780657,0.39801488192463136,0.2500173656632404,-0.087268468909806,0.38657788138518745,0.17418589729287817,0.8849508550949959,0.9010184721600042
8,21,0.5905634204392358,0.407257800112641,0.2564953676285515,-0.07318974730195671,0.4114153868897786,0.1791480335494572,0.8781324936098448,0.8936137974650187
8,22,0.6183369027683331,0.3939922591247588,0.29344706382195884,-0.06910242017838464,0.41314088613948047,0.20519601662885273,0.8857348019710664,0.8975269440564968
8,23,0.5483512296824934,0.3891178584686709,0.20711650340942767,-0.04788313219560514,0.3912069647294197,0.15714426495307357,0.8887124825423595,0.8994505784078631
8,24,0.5064153851871992,0.390355610451828,0.14842216846486758,-0.03236239372949634,0.38759136731716015,0.118824017870039,0.8888574138975994,0.8971448523017734
8,25,0.5650738378654843,0.3912509046454856,0.20002260504246103,-0.02619967182246241,0.419903369895155,0.14517046797032923,0.8869930696461039,0.8925861024005902
8,26,0.5673110493550454,0.3707669433099001,0.25017745067452,-0.053633344629374746,0.3853561784437096,0.1819548709113363,0.9018353579804474,0.9084890247437349
8,27,0.596738541432871,0.3916208935149368,0.24829105468315277,-0.043173406765218525,0.4195324187652154,0.1772061226676555,0.8881986350101452,0.8915320561806634
8,28,0.5237553439298892,0.40515857978582287,0.16040887744858198,-0.04181211330451562,0.3967864043033418,0.1269689396265474,0.8805370365490526,0.8883238029987615
8,29,0.5219434869022133,0.38028548558728575,0.21547336305846698,-0.07381536174353953,0.3593240000473962,0.1626194868548171,0.89841629555456,0.910919918838441
16,0,0.5896729254722073,0.39706949297462907,0.2662143317081807,-0.07361089921060249,0.39616841607916276,0.1935045093930445,0.8856162217713247,0.8975994097341169
16,1,0.6021627034447323,0.36981594046483546,0.30492880096105096,-0.07258203798115415,0.3869450197800105,0.21521768366472177,0.9015191441144695,0.9107222851722048
16,2,0.60121697955611,0.3719530953647853,0.27661898383632966,-0.04735509964500495,0.40002703218308416,0.2011899473730255,0.8999183114179556,0.9065653903923686
16,3,0.5380686544876465,0.39591119859538093,0.1905853212901953,-0.04842786539792976,0.3900340651942781,0.1480345892933686,0.8865516877915096,0.8943516298189675
16,4,0.6413649153177872,0.3762300517061065,0.3182126044124811,-0.05307774080080052,0.4077435597724769,0.2336213555453102,0.8963543176368283,0.9045363514190097
16,5,0.5549704555194477,0.3743438494553972,0.25626406764221643,-0.07563746157816598,0.3697743669486209,0.18519608857082684,0.9013346860259823,0.9099646894516324
16,6,0.6398426156390934,0.37231003536236357,0.34255625620619284,-0.07502367592946302,0.4047967227444336,0.23504589289465966,0.9010118843711297,0.907224169279823
16,7,0.5416508602870103,0.3773088733422301,0.245329127088648,-0.08098714014386788,0.36119033349853474,0.18046052678847546,0.9012753959261113,0.9106695828612084
16,8,0.5710428562154409,0.387267125389075,0.23808865199545012,-0.05431292116908415,0.3884215196804768,0.1826213365349643,0.8907612848823421,0.8995493952409812
16,9,0.5825048681902969,0.38175297293029115,0.2687010431365909,-0.06794914787658513,0.38520768690049095,0.1972971812898061,0.8948457139845581,0.9055903976389365
16,10,0.5694110273256974,0.38186975552327646,0.2959422244042324,-0.10840095260181148,0.36327730653789997,0.20613372078779768,0.8991146011752615,0.9124812248017076
16,11,0.5784103181391688,0.39764401491112794,0.22288803276075694,-0.04212172953271609,0.4048128169928861,0.17359750114628267,0.8829547550660095,0.8893449102743155
16,12,0.5842256693086016,0.365077643997754,0.26456504479629384,-0.045417019485446186,0.38841047924324734,0.1958151900653537,0.9040488550422936,0.9115918733036444
16,13,0.6355677967159525,0.3911915415039886,0.3031843021129453,-0.05880804690098129,0.4224481321163515,0.21311966459960088,0.8881986350101452,0.898548051332051
16,14,0.5663989893024829,0.3948184526210424,0.23459910751323726,-0.06301857083179685,0.3897380480198925,0.17666094128259044,0.887954886821787,0.8965519513030644
16,15,0.6157810397991968,0.3655195025416031,0.2811035198385491,-0.030841982580955274,0.40797313187504486,0.2078079079241524,0.9025534269677726,0.9068552531028484
16,16,0.5898403345264198,0.37350345372897176,0.2691607516427824,-0.05282387084533435,0.38551365915592833,0.20432667537049176,0.8985019368099292,0.9082189253998788
16,17,0.6179357841754617,0.36794952651273233,0.3484138506341913,-0.09842759297146186,0.38194077878488997,0.23599500539057136,0.9070924135023322,0.9125405149015784
16,18,0.618896370692319,0.37918449883804395,0.29683168053453424,-0.05711980868025923,0.4036049434392406,0.21529142725307826,0.8961369206039687,0.9022767398350416
16,19,0.5645459222386726,0.3824320557867063,0.23983908183519706,-0.05772521538323072,0.3837374051483456,0.18080851709032714,0.8948588895623073,0.9032780837439722
16,20,0.6049687516429739,0.37579348630908105,0.2910112055004124,-0.0618359401665195,0.3924060955253353,0.21256265611763864,0.8997404411183432,0.9041674352420354
16,21,0.565578177730095,0.39937934590102364,0.25591030043212404,-0.08971146860305268,0.3741439717064931,0.19143420602360198,0.8849376795172469,0.9034361906769612
16,22,0.6539907972397181,0.3714137698563129,0.30888876572280555,-0.02631173833940037,0.42495432006101236,0.22903647717870587,0.8995296318743576,0.9006232048275318
16,23,0.5613508991617253,0.37564293782332364,0.2602343927976826,-0.07452643145928095,0.3648847782671199,0.1964661208946055,0.8996811510184722,0.9104983003504703
16,24,0.6151537137034014,0.3875653041719375,0.30464910631599806,-0.07706069678453409,0.39954783335777827,0.2156058803456229,0.8931263010883026,0.9001093572953174
16,25,0.527483562383354,0.402920488339719,0.18210277131877994,-0.05753969727514496,0.38074277777168175,0.14674078461167223,0.8832182666209913,0.8943911565522149
16,26,0.6078929207822241,0.368650036500703,0.2901223214308521,-0.050879437149330964,0.3948057820295224,0.21308713875270124,0.9025139002345253,0.9092729716198056
16,27,0.5688049540240312,0.3744130695596658,0.2831295397438318,-0.08873765527946642,0.36379610718571426,0.20500884683831697,0.9014269150702259,0.9130609502226672
16,28,0.5396551095561104,0.3755240421495348,0.2227033508082575,-0.05857228340168186,0.3715415581050606,0.16811355145104967,0.9004848612611663,0.9077907191230336
16,29,0.5101050850511686,0.38897976008284996,0.17597914978414608,-0.05485382481582746,0.3692743473493383,0.14083073770183036,0.8909128040264566,0.9018419457693219
32,0,0.5431428008248049,0.39279271451723724,0.22547061644000935,-0.07512053013244169,0.37165010365304546,0.17149269717175955,0.8906361168937258,0.9028696408337505
32,1,0.6255144687640648,0.38500648679024463,0.31095105088449837,-0.0704430689106782,0.39768377153368917,0.22783069723037577,0.8934359271654062,0.9014335028591004
32,2,0.5613982167558706,0.3869906644283241,0.25575992968318534,-0.08135237735563883,0.37012668974635193,0.19127152700951863,0.8954649661387653,0.906387520092756
32,3,0.5709068366610186,0.37682662713434817,0.2678435179852555,-0.07376330845858514,0.37164676423705223,0.19926007242396648,0.8998458457403358,0.9086537194655986
32,4,0.5950114000296878,0.3753258480097881,0.27403445858421555,-0.0543489065643159,0.39043521291098837,0.20457618711869943,0.8985941658541727,0.9065983293367414
32,5,0.5979758309255168,0.3786073867097781,0.309561783740238,-0.09019333952449937,0.3766937717116388,0.2212820592138778,0.899483517352236,0.9099053993517615
32,6,0.5887717211387522,0.3884758270765639,0.2708175972767698,-0.07052170321458151,0.38859105177129594,0.20018066936745618,0.8913212469366782,0.9020264038578092
32,7,0.605544736755722,0.3704890304089536,0.30101162092735756,-0.06595591458058914,0.3862934151173058,0.21925132163841599,0.9024875490790272,0.907784131334159
32,8,0.6096270154086514,0.3761441037924691,0.30882980311779284,-0.07534689150161056,0.3863573605134506,0.22326965489520098,0.8994308150412397,0.9079092993227752
32,9,0.5737030732941641,0.38541640512627673,0.2710995229352449,-0.08281285476735745,0.3756599767686624,0.1980430965255016,0.8952475691059054,0.905366412817202
32,10,0.5550468141505234,0.37890748458888124,0.25806304191227447,-0.08192371235063234,0.36385492327438385,0.19119189087613958,0.8986995704761653,0.9109989723049357
32,11,0.5906767402827025,0.3835656091853204,0.2719417952376407,-0.06483066414025873,0.3886760887959587,0.2020006514867439,0.8943845687633403,0.9021383962686764
32,12,0.6040245358611835,0.3760017346198708,0.3043728265709837,-0.07635002532967095,0.38333863683226005,0.22068589902892347,0.8994637539856123,0.9081464597222588
32,13,0.6407736157020502,0.3666554802115004,0.3340421188342554,-0.059923983343705634,0.40082905188657547,0.23994456381547463,0.9034230150992121,0.9104785369838468
32,14,0.5949569891759214,0.3662697257257802,0.30721579893282724,-0.07852853548268601,0.37282894333562855,0.22212804584029272,0.9057485045719255,0.9136867901657487
32,15,0.6119963440181474,0.37883117506898234,0.30080104819923226,-0.0676358792500672,0.3943476712350417,0.21764867278310557,0.8971119133574007,0.905280771561833
32,16,0.6115617518775911,0.3676959161118952,0.3148601410548692,-0.07099430528917328,0.38194898063386024,0.22961277124373042,0.9036140609765739,0.9123692323908403
32,17,0.6038949501058415,0.3738054161781034,0.30669433447813954,-0.07660480055040142,0.3817757229189199,0.22211922718692165,0.9011238767819969,0.9091412158423149
32,18,0.6295812707986392,0.3825398701123298,0.30192997983144304,-0.054888579145133676,0.4074443363598488,0.2221369344387907,0.893686263142639,0.9019209992358166
32,19,0.5768686729125809,0.37955228868577995,0.2590211936035148,-0.061704809376713854,0.38244794865994863,0.1944207242526325,0.8959590503043559,0.905267595984084
32,20,0.5938946777693819,0.38522397623567395,0.26470031872317,-0.05602961718946209,0.39980733935019896,0.19408733841918294,0.8924872855674721,0.90050462462779
