variant_id,family,timm_name,depth_tier,resolution_tier,resolution_px,params_m,lr,batch_size,status,test_loss,test_acc,test_auc,test_precision,test_sensitivity,test_specificity,test_f1,test_mcc,tested_at
densenet_S3,densenet,densenet169,small,hi,768,12.49,0.008,8,done,0.482741,0.757246,0.816622,0.780604,0.886282,0.49635,0.830093,0.421366,2026-07-23T07:42:00
densenet_M1,densenet,densenet201,medium,lo,384,18.09,0.006,16,done,0.433557,0.780193,0.864443,0.838182,0.83213,0.675182,0.835145,0.505478,2026-07-23T07:53:17
densenet_M2,densenet,densenet201,medium,mid,512,18.09,0.006,10,done,0.441975,0.781401,0.849416,0.812395,0.875451,0.591241,0.842745,0.489629,2026-07-23T08:04:49
densenet_M3,densenet,densenet201,medium,hi,768,18.09,0.006,6,done,0.490938,0.748792,0.805206,0.772013,0.886282,0.470803,0.82521,0.398127,2026-07-23T08:21:31
densenet_L1,densenet,densenet161,large,lo,384,26.47,0.004,10,done,0.461881,0.762077,0.828269,0.809359,0.84296,0.59854,0.825818,0.451998,2026-07-23T08:32:49
densenet_L2,densenet,densenet161,large,mid,512,26.47,0.004,6,done,0.49445,0.753623,0.813487,0.762763,0.916968,0.423358,0.832787,0.403673,2026-07-23T08:44:41
densenet_L3,densenet,densenet161,large,hi,768,26.47,0.004,4,done,0.472536,0.764493,0.824508,0.798669,0.866426,0.558394,0.831169,0.44811,2026-07-23T09:04:54
efficientnet_T1,efficientnet,efficientnet_b0,tiny,lo,384,4.01,0.01,32,done,0.497187,0.76087,0.829943,0.817857,0.826715,0.627737,0.822262,0.457043,2026-07-23T09:16:13
efficientnet_T2,efficientnet,efficientnet_b0,tiny,mid,512,4.01,0.01,24,done,0.463787,0.753623,0.836122,0.799658,0.84296,0.572993,0.820738,0.429312,2026-07-23T09:27:24
efficientnet_T3,efficientnet,efficientnet_b0,tiny,hi,768,4.01,0.01,10,done,0.457694,0.753623,0.841485,0.788779,0.862816,0.532847,0.824138,0.420284,2026-07-23T09:38:57
efficientnet_S1,efficientnet,efficientnet_b2,small,lo,384,7.7,0.008,24,done,0.485493,0.742754,0.806405,0.797557,0.82491,0.576642,0.811003,0.409284,2026-07-23T09:49:14
efficientnet_S2,efficientnet,efficientnet_b2,small,mid,512,7.7,0.008,16,done,0.489709,0.7343,0.812116,0.796099,0.810469,0.580292,0.80322,0.394548,2026-07-23T10:00:45
efficientnet_S3,efficientnet,efficientnet_b2,small,hi,768,7.7,0.008,8,done,0.489197,0.746377,0.817156,0.793515,0.83935,0.558394,0.815789,0.411507,2026-07-23T10:13:22
efficientnet_M1,efficientnet,efficientnet_b4,medium,lo,384,17.55,0.006,16,done,0.620273,0.772947,0.865326,0.889362,0.754513,0.810219,0.816406,0.536391,2026-07-23T10:26:55
efficientnet_M2,efficientnet,efficientnet_b4,medium,mid,512,17.55,0.006,10,done,0.757249,0.786232,0.866202,0.873267,0.796029,0.766423,0.832861,0.542586,2026-07-23T10:38:13
efficientnet_M3,efficientnet,efficientnet_b4,medium,hi,768,17.55,0.006,6,done,0.631893,0.823671,0.900735,0.896887,0.83213,0.806569,0.863296,0.619413,2026-07-23T10:53:16
efficientnet_L1,efficientnet,efficientnet_b5,large,lo,384,28.34,0.004,10,done,0.512246,0.711353,0.784164,0.773913,0.803249,0.525547,0.788308,0.335864,2026-07-23T11:04:31
efficientnet_L2,efficientnet,efficientnet_b5,large,mid,512,28.34,0.004,6,done,0.499342,0.708937,0.796556,0.789279,0.770758,0.583942,0.779909,0.350713,2026-07-23T11:15:54
efficientnet_L3,efficientnet,efficientnet_b5,large,hi,768,28.34,0.004,4,done,0.532249,0.72343,0.764493,0.77403,0.82852,0.510949,0.800349,0.354298,2026-07-23T11:36:10
maxvit_T1,maxvit,maxvit_nano_rw_256,tiny,lo,384,14.94,0.01,32,done,0.631901,0.688406,0.60636,0.68408,0.99278,0.072993,0.810015,0.184476,2026-07-23T11:47:30
maxvit_T2,maxvit,maxvit_nano_rw_256,tiny,mid,512,14.94,0.01,24,done,0.535458,0.699275,0.754829,0.761578,0.801444,0.492701,0.781003,0.303231,2026-07-23T11:59:11
maxvit_T3,maxvit,maxvit_nano_rw_256,tiny,hi,768,14.94,0.01,10,done,0.618546,0.69686,0.608027,0.69153,0.987365,0.109489,0.813383,0.220575,2026-07-23T12:18:05
maxvit_S1,maxvit,maxvit_tiny_tf_224,small,lo,384,30.4,0.008,24,done,0.65379,0.785024,0.855444,0.828671,0.855596,0.642336,0.841918,0.506969,2026-07-23T12:28:38
maxvit_S2,maxvit,maxvit_tiny_tf_224,small,mid,512,30.4,0.008,16,done,0.641127,0.774155,0.843283,0.821366,0.84657,0.627737,0.833778,0.482398,2026-07-23T12:41:46
maxvit_S3,maxvit,maxvit_tiny_tf_224,small,hi,768,30.4,0.008,8,done,0.68774,0.783816,0.84497,0.827225,0.855596,0.638686,0.841171,0.503799,2026-07-23T13:09:15
maxvit_M1,maxvit,maxvit_small_tf_224,medium,lo,384,68.16,0.006,16,done,0.813798,0.778986,0.848949,0.829485,0.84296,0.649635,0.836168,0.496871,2026-07-23T13:23:54
maxvit_M2,maxvit,maxvit_small_tf_224,medium,mid,512,68.16,0.006,10,done,0.835141,0.768116,0.848517,0.833948,0.815884,0.671533,0.824818,0.482335,2026-07-23T13:43:33
maxvit_M3,maxvit,maxvit_small_tf_224,medium,hi,768,68.16,0.006,6,done,0.692687,0.794686,0.869015,0.839223,0.857401,0.667883,0.848214,0.531454,2026-07-23T14:25:47
maxvit_L1,maxvit,maxvit_base_tf_224,large,lo,384,118.7,0.004,10,done,0.955766,0.763285,0.823085,0.811847,0.841155,0.605839,0.826241,0.4561,2026-07-23T14:46:41
maxvit_L2,maxvit,maxvit_base_tf_224,large,mid,512,118.7,0.004,6,done,1.027019,0.764493,0.835358,0.804754,0.855596,0.580292,0.829396,0.452635,2026-07-23T15:19:54
maxvit_L3,maxvit,maxvit_base_tf_224,large,hi,768,118.7,0.004,4,done,0.912895,0.769324,0.848227,0.815652,0.84657,0.613139,0.830824,0.46959,2026-07-23T16:35:58
regnet_T1,regnet,regnety_004,tiny,lo,384,3.9,0.01,32,done,0.560311,0.788647,0.856689,0.847706,0.833935,0.69708,0.840764,0.5268,2026-07-23T16:46:47
regnet_T2,regnet,regnety_004,tiny,mid,512,3.9,0.01,24,done,0.517213,0.789855,0.85914,0.846715,0.837545,0.693431,0.842105,0.528124,2026-07-23T16:58:31
regnet_T3,regnet,regnety_004,tiny,hi,768,3.9,0.01,10,done,0.441893,0.804348,0.896321,0.910042,0.785199,0.843066,0.843023,0.598445,2026-07-23T17:10:33
regnet_S1,regnet,regnety_016,small,lo,384,10.31,0.008,24,done,0.52716,0.80314,0.875102,0.860037,0.84296,0.722628,0.851413,0.560155,2026-07-23T17:21:54
regnet_S2,regnet,regnety_016,small,mid,512,10.31,0.008,16,done,0.539076,0.799517,0.874937,0.852727,0.84657,0.70438,0.849638,0.548957,2026-07-23T17:33:08
regnet_S3,regnet,regnety_016,small,hi,768,10.31,0.008,8,done,0.43924,0.822464,0.906414,0.899804,0.826715,0.813869,0.861712,0.619372,2026-07-23T17:45:14
regnet_M1,regnet,regnety_032,medium,lo,384,17.92,0.006,16,done,0.762276,0.792271,0.85661,0.847273,0.841155,0.693431,0.844203,0.532652,2026-07-23T17:58:07
regnet_M2,regnet,regnety_032,medium,mid,512,17.92,0.006,10,done,0.706717,0.810386,0.882181,0.871028,0.841155,0.748175,0.855831,0.579934,2026-07-23T18:09:46
regnet_M3,regnet,regnety_032,medium,hi,768,17.92,0.006,6,done,0.579552,0.842995,0.908127,0.917323,0.841155,0.846715,0.877589,0.664707,2026-07-23T18:24:36
regnet_L1,regnet,regnety_080,large,lo,384,37.17,0.004,10,done,0.678226,0.792271,0.868791,0.847273,0.841155,0.693431,0.844203,0.532652,2026-07-23T18:35:56
regnet_L2,regnet,regnety_080,large,mid,512,37.17,0.004,6,done,0.620301,0.81401,0.897632,0.890625,0.823105,0.79562,0.855535,0.599307,2026-07-23T18:47:35
regnet_L3,regnet,regnety_080,large,hi,768,37.17,0.004,4,done,0.624835,0.838164,0.906878,0.910156,0.841155,0.832117,0.874296,0.652142,2026-07-23T19:07:02
resnet_T1,resnet,resnet18,tiny,lo,384,11.18,0.01,32,done,0.488844,0.748792,0.818579,0.81685,0.805054,0.635036,0.810909,0.43697,2026-07-23T19:17:20
resnet_T2,resnet,resnet18,tiny,mid,512,11.18,0.01,24,done,0.456925,0.762077,0.840681,0.820467,0.82491,0.635036,0.822682,0.461238,2026-07-23T19:28:31
resnet_T3,resnet,resnet18,tiny,hi,768,11.18,0.01,10,done,0.473556,0.774155,0.83906,0.801314,0.880866,0.558394,0.839209,0.468621,2026-07-23T19:40:42
resnet_S1,resnet,resnet34,small,lo,384,21.29,0.008,24,done,0.485771,0.745169,0.814224,0.7962,0.83213,0.569343,0.813769,0.411953,2026-07-23T19:51:31
resnet_S2,resnet,resnet34,small,mid,512,21.29,0.008,16,done,0.483608,0.759662,0.829943,0.814159,0.830325,0.616788,0.822163,0.451903,2026-07-23T20:03:24
resnet_S3,resnet,resnet34,small,hi,768,21.29,0.008,8,done,0.47683,0.780193,0.84825,0.814189,0.870036,0.59854,0.841187,0.48842,2026-07-23T20:16:21
resnet_M1,resnet,resnet50,medium,lo,384,23.51,0.006,16,done,0.511139,0.7343,0.807426,0.780201,0.83935,0.521898,0.808696,0.378502,2026-07-23T20:27:07
resnet_M2,resnet,resnet50,medium,mid,512,23.51,0.006,10,done,0.482884,0.772947,0.832479,0.812287,0.859206,0.59854,0.835088,0.473585,2026-07-23T20:38:14
resnet_M3,resnet,resnet50,medium,hi,768,23.51,0.006,6,done,0.453732,0.774155,0.84966,0.834244,0.826715,0.667883,0.830462,0.492373,2026-07-23T20:51:03
resnet_L1,resnet,resnet101,large,lo,384,42.5,0.004,10,done,0.493289,0.736715,0.806767,0.78866,0.82852,0.551095,0.808099,0.390881,2026-07-23T21:02:00
resnet_L2,resnet,resnet101,large,mid,512,42.5,0.004,6,done,0.519227,0.7343,0.783519,0.778333,0.84296,0.514599,0.809359,0.376647,2026-07-23T21:13:03
resnet_L3,resnet,resnet101,large,hi,768,42.5,0.004,4,done,0.521894,0.718599,0.783387,0.777202,0.812274,0.529197,0.794351,0.350385,2026-07-23T21:29:07
swin_T1,swin,swin_tiny_patch4_window7_224,tiny,lo,384,27.52,0.01,32,done,0.622701,0.692029,0.618429,0.698539,0.949458,0.171533,0.804897,0.198361,2026-07-23T21:40:04
swin_T2,swin,swin_tiny_patch4_window7_224,tiny,mid,512,27.52,0.01,24,done,0.623307,0.681159,0.608343,0.695418,0.931408,0.175182,0.796296,0.164398,2026-07-23T21:51:29
swin_T3,swin,swin_tiny_patch4_window7_224,tiny,hi,768,27.52,0.01,10,done,0.614171,0.687198,0.610181,0.687898,0.974729,0.105839,0.806572,0.170855,2026-07-23T22:05:35
